N_REGISTRO,PRAIA,TIPO_REG,DATA_OCORR,N_NINHO,HORA_OCORR,GPS_ID,WAYPOINT,LATITUDE,LONGITUDE,TURTLE ID,MARCAS_COL1,MARCAS_COL2,MARCAS_ENC1,MARCAS_ENC2,MARCAS_RET,COMP_CASCO,LARG_CASCO,COLETA_MAT_FEMEAS,VIAL _N,SITUACAO,TEMP_LOGGER_ID,TEMP_LOGGER_DEPLOYED,TEMP_LOGGER_REMOVED,TEMP_TRANSF,OVOS_TRANSF,OVOS_FUR,LATITUDE_DESTINO,LONGITUDE_DESTINO,DATA_ECLOS,DATA_ABERT,HIST_NINHO,VIVOS,NATIMORTOS,OVOS_N_ECL,OVOS_TOT,Hatching success,INCUBACAO,COLETA_MAT_Filhotes,OBSERVACAO,,,,,,,,,,,,,,,,,,
203,Leao,CD,29-Feb-2020,105,0:45,11,N105,-3.86957,-32.43608,F32,BRA 21677,BRA 21678,NA,NA,NA,106,94,SIM,#105-29/02/20- BRA 21677/ BRA 21678,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NAO,GPS 11 - N105 - F32. Fotos ok.,,,,,,,,,,,,,,,,,,
204,Leao,ML,1-Mar-2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Ocorrência antes de 20:20.,,,,,,,,,,,,,,,,,,
205,Leao,SD,1-Mar-2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Ocorrência antes de 20:20.,,,,,,,,,,,,,,,,,,
206,Leao,SD,1-Mar-2020,NA,21:40,NA,NA,NA,NA,F26,NA,NA,BRA 21623,BRA 21665,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,,,,,
207,Leao,CD,1-Mar-2020,106,21:43,10,N106,-3.86994,-32.43744,F10,NA,NA,BRA 21616,BRA 21617,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NAO,GPS 10 - N106 - F10.,,,,,,,,,,,,,,,,,,
208,Leao,ML,1-Mar-2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Ocorrência entre 20:40 e 21:40.,,,,,,,,,,,,,,,,,,
209,Leao,CD,1-Mar-2020,107,2:07,10,N107,-3.86977,-32.43689,F18,NA,NA,BRA 21647,BRA 21648,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NAO,GPS 10 - N107 - F18.,,,,,,,,,,,,,,,,,,
210,Leao,ML,1-Mar-2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Ocorrência entre 1:00 e 2:00.,,,,,,,,,,,,,,,,,,
211,Leao,CD,2-Mar-2020,108,20:40,11,108,-3.87011,-32.43810,F19,NA,NA,BRA 21625,BRA 21670,NA,NA,NA,SIM,#108- 02/03/20- BRA 21625/ BRA 21670,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NAO,GPS 11 - N108 - F19.,,,,,,,,,,,,,,,,,,
212,Leao,ML,2-Mar-2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Ocorrência entre 20:30 e 21:30.,,,,,,,,,,,,,,,,,,
213,Leao,ML,2-Mar-2020,NA,22:00,10,ML F33,-3.87009,-32.439009,F33,BRA 21667,BRA 21668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,GPS 10 - MLF33 - F33.,,,,,,,,,,,,,,,,,,
214,Leao,ML,2-Mar-2020,NA,0:07,NA,NA,NA,NA,F27,NA,NA,BRA 21663,BRA 21664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,,,,,
215,Leao,ML,2-Mar-2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,,,,,
216,Leao,ML,2-Mar-2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Ocorrência entre 3:00 e 4:00.,,,,,,,,,,,,,,,,,,
217,Leao,ML,3-Mar-2020,NA,20:25,NA,NA,NA,NA,F29,NA,NA,BRA 21651,BRA 21652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,,,,,
218,Leao,ML,3-Mar-2020,NA,20:55,NA,NA,NA,NA,F34,BRA 21679,BRA 21680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,,,,,
219,Leao,CD,3-Mar-2020,109,20:55,10,N109,-3.86978,-32.43687,F15,NA,NA,BRA 21629,BRA 21645,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NAO,"GPS 10 - N109 - F15. Cavou um ninho ja nascido, talvez o 13.",,,,,,,,,,,,,,,,,,
220,Leao,ML,3-Mar-2020,NA,21:03,NA,NA,NA,NA,F26,NA,NA,BRA 21665,BRA 21623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,,,,,
221,Leao,ML,3-Mar-2020,NA,21:50,NA,NA,NA,NA,F33,NA,NA,BRA 21667,BRA 21668,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,,,,,
222,Leao,SD,3-Mar-2020,NA,21:43,11,SD03/03,-3.86993,-32.43762,F27,NA,NA,BRA 21663,BRA 21664,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NAO,GPS 11 -  SD 03/03.,,,,,,,,,,,,,,,,,,
223,Leao,ML,3-Mar-2020,NA,23:14,NA,NA,NA,NA,F30,NA,NA,BRA 21662,BRA 21676,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,,,,,
224,Leao,ML,3-Mar-2020,NA,23:05,NA,NA,NA,NA,F29,NA,NA,BRA 21651,BRA 21652,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,,,,,
225,Leao,CD,3-Mar-2020,110,23:20,10,N110,-3.86963,-32.43658,F9,NA,NA,BRA 21627,BR 83329,NA,NA,NA,NAO,NA,I,896729,04-Mar-2020 00:35,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NAO,GPS 10 - N110 - F9. *Tiny Tag perdido.,,,,,,,,,,,,,,,,,,
226,Leao,CD,3-Mar-2020,111,23:20,10,N111,-3.86964,-32.43659,F35,BRA 21681,BRA 21682,NA,NA,NA,106.5,98.1,SIM,#111- 03/03/20- BRA 21681/ BRA 21682,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NAO,GPS 10 - N111 - F35.,,,,,,,,,,,,,,,,,,
227,Leao,SD,3-Mar-2020,NA,23:30,11,SD03/03,-3.86985,-32.43720,F26,NA,NA,BRA 21623,BRA 21665,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,GPS 11- SD3/03,,,,,,,,,,,,,,,,,,
228,Leao,CD,3-Mar-2020,112,0:04,11,N112,-3.87006,-32.43817,F30,NA,NA,BRA 21662,BRA 21676,NA,107,104.1,SIM,#112-03/03/20- BRA 21676/ BRA 21662,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NAO,GPS 11 - N112.,,,,,,,,,,,,,,,,,,
229,Leao,CD,3-Mar-2020,113,2:00,10,N113,-3.86976,-32.43695,F26,NA,NA,BRA 21623,BRA 21665,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NAO,GPS 10 - N113 - F26.,,,,,,,,,,,,,,,,,,
230,Leao,ML,3-Mar-2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Ocorrência entre 23:00 e 00:00.,,,,,,,,,,,,,,,,,,
231,Leao,ML,4-Mar-2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Entre 22:00 e 23:00,,,,,,,,,,,,,,,,,,
232,Leao,ML,4-Mar-2020,NA,23:17,NA,NA,NA,NA,F28,NA,NA,BRA 21613,BRA 21626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,,,,,
233,Leao,ML,4-Mar-2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Ocorrência entre 22:00 e 23:00.,,,,,,,,,,,,,,,,,,
234,Leao,CD,4-Mar-2020,114,0:02,11,N114,-3.86998,-32.43790,F34,NA,NA,BRA 21679,BRA 21680,NA,106.6,101,SIM,#114- 04/03/20- BRA 21679/ BRA 21680,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NAO,GPS 11 - N114 - F34. Fotos ok.,,,,,,,,,,,,,,,,,,
235,Leao,CD,4-Mar-2020,115,1:00,11,N115,-3.87005,-32.43784,F16,NA,NA,BRA 21649,BRA 21650,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NAO,GPS 11 - N115 - F16.,,,,,,,,,,,,,,,,,,
236,Leao,ML,4-Mar-2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Ocorrência entre 1:00 e 2:00.,,,,,,,,,,,,,,,,,,
237,Leao,ML,5-Mar-2020,NA,20:35,NA,NA,NA,NA,F27,NA,NA,BRA 21663,BRA 21664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,,,,,
238,Leao,SD,5-Mar-2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Ocorrência entre 00:20 e 01:20.,,,,,,,,,,,,,,,,,,
239,Leao,CD,6-Mar-2020,117,20:33,11,N117,-3.87005,-32.43789,F29,NA,NA,BRA 21651,BRA 21652,NA,NA,NA,SIM,#117-06/03/20- BRA 21651/ BRA 21652,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,GPS 11 - N117 - F29.,,,,,,,,,,,,,,,,,,
240,Leao,CD,6-Mar-2020,116,20:33,10,N116,-3.87008,-32.43794,F2,NA,NA,BRA 21607,BRA 21608,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NAO,GPS 10 - N116 - F2.,,,,,,,,,,,,,,,,,,
241,Leao,CD,6-Mar-2020,118,20:33,10,N118,-3.87011,-32.43819,F27,NA,NA,BRA 21663,BRA 21664,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,GPS 10 - N118 - F27.,,,,,,,,,,,,,,,,,,
242,Leao,CD,6-Mar-2020,119,20:33,11,N119I e N119P ,-3.87000,-32.43870,F28,NA,NA,BRA 21613,BRA 21626,NA,118.6,114.3,SIM,#119- 06/03/20- BRA 21613 / BRA 21626,P,NA,NA,NA,A,93,0,-3.87008,-32.43800,NA,NA,NA,NA,NA,NA,NA,,NA,NA,GPS 11 - N 119 I e N 119P - F28. Fotos ok.,,,,,,,,,,,,,,,,,,
243,Leao,ML,6-Mar-2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Ocorrência entre 22:30 e 23:30.,,,,,,,,,,,,,,,,,,
244,Leao,ML,6-Mar-2020,NA,23:50,NA,NA,NA,NA,F33,NA,NA,BRA 21667,BRA 21668,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,F33.,,,,,,,,,,,,,,,,,,
245,Leao,ML,6-Mar-2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,,,,,
246,Leao,SD,7-Mar-2020,NA,20:20,NA,NA,NA,NA,F36,BRA 21687,BRA 21688,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,F36.,,,,,,,,,,,,,,,,,,
247,Leao,ML,7-Mar-2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Ocorrência entre 2:00 e 3:00.,,,,,,,,,,,,,,,,,,
248,Leao,ML,8-Mar-2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Ocorrência antes das 20:20.,,,,,,,,,,,,,,,,,,
249,Leao,CD,8-Mar-2020,125,20:20,11,N125,-3.86956,-32.43612,F1,NA,NA,BRA 21602,BR 26380,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NAO,GPS 11 - N125 - F1.,,,,,,,,,,,,,,,,,,
250,Leao,CD,8-Mar-2020,122,20:20,11,N122,-3.86953,-32.43639,F7,NA,NA,BR 20516,BR 20517,NA,124.5,109,NAO,NA,I,896701,08-Mar-2020 21:35,28-May-2020 09:35,NA,NA,NA,NA,NA,NA,28-May-2020,SU,83,13,42,138,60.1,NA,SIM - 1 natimorto,GPS 11 - N122 - F7. Tiny Tag removed by TAMAR.,,,,,,,,,,,,,,,,,,
251,Leao,CD,8-Mar-2020,120,20:33,10,N120,-3.86975,-32.43690,F13,NA,NA,BRA 21632,BRA 21641,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,GPS10 - N120.,,,,,,,,,,,,,,,,,,
252,Leao,CD,8-Mar-2020,121,20:33,10,N121,-3.86995,-32.43747,F33,NA,NA,BRA 21667,BRA 21668,NA,111,95,SIM,#121-08/03/20-BRA21667/ BRA21668,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NAO,GPS 10 - N121.,,,,,,,,,,,,,,,,,,
253,Leao,CD,8-Mar-2020,124,20:48,10,N124,-3.86992,-32.43751,F36,NA,NA,BRA 21687,BRA 21688,NA,106.3,101,SIM,#124-08/03/20- BRA21687/ BRA21688,I,896702,08-Mar-2020 21:40,28-May-2020 08:25,NA,NA,NA,NA,NA,NA,28-May-2020,SU,59,0,24,83,71.1,NA,NAO,GPS 10 - N124 - F36 - 3 ovos anômalos. Tiny Tag removed by Tamar.,,,,,,,,,,,,,,,,,,
254,Leao,SD,9-Mar-2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,,,,,
255,Leao,ML,9-Mar-2020,NA,20:20,NA,NA,NA,NA,F17,NA,NA,BRA 21633,BRA 21634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,,,,,
256,Leao,CD,9-Mar-2020,123,20:30,11,N123,-3.86969,-32.43674,F23,NA,NA,BRA 21646,BRA 21659,NA,NA,NA,SIM,#9/3/20 BRA 21659/ BRA 21646,I,881575,09-Mar-2020 20:42,27-May-2020 09:10,NA,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,,NA,NA,GPS 11 - N123. Tiny Tag removed by TAMAR.,,,,,,,,,,,,,,,,,,
257,Leao,ML,9-Mar-2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Ocorrência entre 00:20 e 01:20.,,,,,,,,,,,,,,,,,,
258,Leao,SD,10-Mar-2020,NA,20:14,NA,NA,NA,NA,F24,NA,NA,BR 67308,BR 38658,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,,,,,
259,Leao,SD,10-Mar-2020,NA,20:14,NA,NA,NA,NA,F38,NA,NA,BR 83271,BR 83272,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,,,,,
260,Leao,CD,10-Mar-2020,126,20:14,11,N126,-3.86996,-32.43774,F22,NA,NA,BRA 21657,BRA 21658,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,GPS 11 - N126.,,,,,,,,,,,,,,,,,,
261,Leao,ML,10-Mar-2020,NA,20:40,NA,NA,NA,NA,F25,NA,NA,BRA 21660,BRA 21673,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,,,,,
262,Leao,ML,10-Mar-2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Ocorrência antes de 20:15.,,,,,,,,,,,,,,,,,,
263,Leao,CD,10-Mar-2020,127,20:10,10,N127,-3.86972,-32.43679,F17,NA,NA,BRA 21633,BRA 21634,NA,NA,NA,NAO,NA,I,896722,10-Mar-2020 20:55,28-May-2020 09:16,NA,NA,NA,NA,NA,NA,28-May-2020,SU,90,1,3,94,95.7,NA,NAO,GPS 10 - N127. Tiny Tag romoved by TAMAR.,,,,,,,,,,,,,,,,,,
264,Leao,CD,10-Mar-2020,128,20:14,11,N128,-3.86987,-32.43725,F11,NA,NA,BRA 21643,BR 77078,NA,NA,NA,NAO,NA,I,881571,10-Mar-2020 20:50,28-May-2020 08:35,NA,NA,NA,NA,NA,NA,28-May-2020,SU,96,10,21,127,75.6,NA,NAO,GPS 11 - N128. Tiny Tag removed by TAMAR.,,,,,,,,,,,,,,,,,,
265,Leao,CD,10-Mar-2020,129,20:14,11,N129,-3.87006,-32.43785,F37,BRA 21689,BRA 21690,NA,NA,NA,115.1,103,SIM,#129-10/03/20-BRA21689/ BRA21690,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,GPS 11 - N129 - F37. Fotos ok.,,,,,,,,,,,,,,,,,,
266,Leao,CD,10-Mar-2020,130,22:00,11,N130,-3.86983,-32.43719,F24,NA,NA,BR 38658,BR 67308,NA,121,107,SIM,#130-10/03/20-BR38658/ BR67308,I,896717,10-Mar-2020 23:43,28-Mar-2020 08:48,NA,NA,NA,NA,NA,NA,28-May-2020,SU,81,1,8,90,90.0,NA,NAO,"GPS 11 - N130 - F24. Cicatriz de copula, queloide nadadeira anterior esquerda. Tiny Tag removed by TAMAR.",,,,,,,,,,,,,,,,,,
267,Leao,CD,10-Mar-2020,131,1:32,11,N131,-3.86962,-32.43689,F14,NA,NA,BR 53308,BRA 21603,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NAO,GPS 11 - N131.,,,,,,,,,,,,,,,,,,
268,Leao,CD,11-Mar-2020,132,20:30,11,N132 e N132P ,-3.86451,-32.43596,F21,NA,NA,BR 38691,BR 20597,NA,NA,NA,NAO,NA,P,NA,NA,NA,A,105,0,-3.86952,-32.43609,NA,NA,NA,NA,NA,NA,NA,,NA,NAO,GPS 11 - N132 e N132P.,,,,,,,,,,,,,,,,,,
269,Leao,CD,11-Mar-2020,133,20:33,11,N133,-3.86963,-32.43627,F25,NA,NA,BRA 21660,BRA 21673,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NAO,GPS 11 - N133.,,,,,,,,,,,,,,,,,,
270,Leao,CD,11-Mar-2020,134,20:34,11,N134,-3.869596,-32.43632,F10,NA,NA,BRA 21616,BRA 21617,NA,NA,NA,NAO,NA,I,880878,11-Mar-2020 21:05,28-May-2020 09:26,NA,NA,NA,NA,NA,NA,28-May-2020,SU,96,1,3,100,96.0,NA,NAO,GPS 11 - N134. Tiny Tag removed by TAMAR.,,,,,,,,,,,,,,,,,,
271,Leao,CD,11-Mar-2020,135,20:35,11,N135,-3.89674,-32.43716,F12,NA,NA,BRA 21618,BR 98337,NA,NA,NA,NAO,NA,I,896721,11-Mar-2020 21:11,28-May-2020 08:49,NA,NA,NA,NA,NA,NA,28-May-2020,SU,86,4,11,101,85.1,NA,NAO,GPS 11 - N135 - F12. Fotos ok. Tiny Tag removed by TAMAR.,,,,,,,,,,,,,,,,,,
272,Leao,CD,11-Mar-2020,136,20:35,11,N136,-3.86987,-32.43727,F18,NA,NA,BRA 21647,BRA 21648,NA,NA,NA,SIM,#136-11/03/20-BRA21647/ BRA21648,I,896694,11-Mar-2020 21:27,28-May-2020 08:40,NA,NA,NA,NA,NA,NA,28-May-2020,SU,60,1,0,61,98.4,NA,SIM - 1 natimorto,GPS 11 - N136 . Tiny Tag removed by TAMAR.,,,,,,,,,,,,,,,,,,
273,Leao,ML,11-Mar-2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Ocorrência antes de 20:30.,,,,,,,,,,,,,,,,,,
274,Leao,ML,11-Mar-2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Ocorrência entre 20:30 e 21:30.,,,,,,,,,,,,,,,,,,
275,Leao,SD,12-Mar-2020,NA,20:30,NA,NA,NA,NA,F38,NA,NA,BR 83271,BR 83272,NA,110.1,106.5,SIM,#SD-12/03/20-BR83271/ BR83272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Coleta e biometria com a tartaruga voltando para o mar.,,,,,,,,,,,,,,,,,,
276,Leao,CD,12-Mar-2020,137,20:40,10,N137,-3.86947,-32.43597,F8,NA,NA,BRA 21614,BRA 21615,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NAO,GPS 10 - N137.,,,,,,,,,,,,,,,,,,
277,Leao,CD,12-Mar-2020,138,20:50,10,N138,-3.86376,-32.43700,F39,BRA 21666,BRA 21669,NA,NA,NA,111.1,105.5,SIM,#138-12/03/20-BRA21666/ BRA21669,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NAO,GPS 10 - N138. Marcada descendo.,,,,,,,,,,,,,,,,,,
278,Leao,CD,12-Mar-2020,139,20:55,10,N139,-3.87008,-32.43810,F19,NA,NA,BRA 21670,BRA 21625,NA,NA,NA,SIM,#139-12/03/10-BRA21625/ BRA21670,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NAO,GPS 10 -N139 - F19.,,,,,,,,,,,,,,,,,,
279,Leao,CD,12-Mar-2020,140,21:30,10,N140,-3.87001,-32.43788,F32,BRA 21685,BRA 21686,NA,NA,BRA 21677,NA,NA,SIM,#140-12/03/10-BRA21685/ BRA21686,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NAO,GPS 10 - N140. Marca BRA21677 aberta.,,,,,,,,,,,,,,,,,,
280,Leao,CD,13-Mar-2020,141,20:35,10,N141,-3.86978,-32.43675,F35,NA,NA,BRA 21681,BRA 21682,NA,NA,NA,SIM,#141- 13/03/20- BRA 21681/ BRA 21682,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NAO,GPS 10 - N141.,,,,,,,,,,,,,,,,,,
281,Leao,SD,13-Mar-2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,,,,,,,,,,,,,,
